aX,aY,aZ,gX,gY,gZ
-1.552,0.097,-0.686,-10.986,-454.346,146.423
-1.874,0.032,-0.230,-21.667,-472.412,128.540
-2.196,0.021,0.320,-30.273,-472.412,130.493
-2.501,0.205,0.999,-38.330,-448.303,157.776
-2.732,0.533,1.649,-45.959,-389.282,203.796
-2.959,1.016,2.170,-49.255,-291.077,248.657
-3.211,1.742,2.561,-43.274,-156.860,266.968
-3.351,2.551,2.804,-33.447,2.014,237.610
-3.358,3.040,2.708,-26.733,171.326,149.719
-3.355,2.782,2.107,-22.400,332.092,17.578
-3.280,2.060,1.239,-21.057,463.440,-121.643
-3.068,1.264,0.357,-25.208,550.964,-237.854
-2.777,0.495,-0.573,-46.265,588.379,-320.984
-2.318,-0.216,-1.219,-82.642,569.702,-376.160
-1.710,-0.783,-1.757,-126.282,527.344,-413.391
-0.891,-1.240,-2.193,-172.119,460.327,-434.143
0.091,-1.766,-2.634,-205.444,377.625,-438.538
1.275,-1.977,-2.786,-199.707,294.617,-418.640
2.495,-1.822,-2.649,-158.997,234.192,-378.174
3.088,-1.785,-2.328,-98.572,215.942,-335.083
3.212,-1.685,-2.056,-27.893,233.704,-290.222
3.242,-1.573,-2.019,34.668,262.939,-234.314
3.169,-1.607,-1.996,76.904,277.954,-176.514
3.040,-1.504,-2.001,93.994,267.883,-116.211
2.798,-1.248,-1.984,87.708,235.352,-49.866
2.463,-0.828,-1.852,71.838,182.434,17.029
2.113,-0.422,-1.637,55.481,117.249,70.435
1.835,-0.145,-1.344,36.560,56.091,100.708
1.597,0.059,-1.175,14.404,13.123,110.962
1.394,0.080,-1.013,-6.592,-16.785,104.370
1.212,0.101,-0.951,-15.564,-36.499,93.506
1.048,0.103,-0.902,-15.137,-40.894,87.708
0.915,0.099,-0.786,-7.446,-44.861,81.665

0.888,0.198,-0.681,12.451,-30.762,-35.767
0.961,0.193,-0.473,5.554,-38.757,-29.175
0.920,0.215,-0.465,-16.174,-48.218,-9.216
0.866,0.197,-0.599,-38.330,-47.363,7.751
0.865,0.177,-0.736,-42.786,-40.710,13.123
0.883,0.155,-0.633,-32.654,-38.574,12.634
0.913,0.216,-0.605,-30.090,-37.537,14.465
0.950,0.244,-0.696,-38.391,-35.583,17.395
0.983,0.267,-0.687,-36.133,-32.166,16.968
0.994,0.193,-0.682,-22.644,-23.010,13.245
1.012,0.117,-0.708,-7.568,-11.597,9.033
1.050,0.085,-0.729,6.348,-5.249,6.531
1.061,0.060,-0.717,17.456,-5.554,6.653
1.071,0.061,-0.712,20.630,-11.292,7.324
1.070,0.095,-0.737,12.939,-19.958,7.385
1.077,0.080,-0.715,-8.789,-31.372,7.019
1.158,0.055,-0.852,-34.851,-45.593,7.141
1.103,-0.007,-0.881,-57.983,-61.951,7.996
1.007,-0.382,-0.785,-70.007,-76.294,8.545
1.286,-0.208,-0.945,-55.786,-81.299,15.564
1.589,0.101,-1.142,-58.777,-82.581,17.517
1.518,-0.008,-1.134,-73.486,-88.501,4.456
1.268,-0.171,-1.077,-60.547,-98.572,-7.202
1.146,-0.083,-1.054,-40.283,-108.398,-5.920
1.173,-0.026,-0.937,-40.161,-117.371,-0.549
1.180,-0.073,-0.943,-44.556,-124.878,2.258
1.153,-0.200,-0.953,-42.236,-132.690,6.836
