aX,aY,aZ,gX,gY,gZ
-0.313,-0.448,-1.865,34.058,121.765,177.246
-0.380,-0.349,-1.928,41.077,120.911,187.927
-0.418,-0.261,-2.001,40.588,112.183,193.542
-0.430,-0.197,-2.013,35.400,94.482,195.496
-0.438,-0.157,-1.974,28.564,71.960,196.289
-0.455,-0.139,-1.891,19.226,49.500,196.350
-0.456,-0.121,-1.801,8.972,31.433,195.801
-0.427,-0.118,-1.764,-0.610,19.836,194.946
-0.396,-0.133,-1.803,-6.958,14.160,194.946
-0.406,-0.173,-1.893,-6.714,9.766,195.374
-0.423,-0.237,-1.868,-2.136,1.892,198.364
-0.454,-0.209,-1.870,3.418,-5.371,207.520
-0.490,-0.148,-1.848,12.207,-11.719,216.309
-0.501,-0.076,-1.804,23.560,-17.761,221.924
-0.519,-0.010,-1.729,36.438,-22.095,225.769
-0.544,0.056,-1.650,49.194,-24.719,228.882
-0.557,0.104,-1.602,57.922,-26.550,231.323
-0.566,0.151,-1.598,60.852,-29.114,232.605
-0.570,0.199,-1.600,58.533,-35.095,231.079
-0.582,0.247,-1.608,50.903,-45.776,228.271
-0.605,0.275,-1.608,40.955,-60.791,225.098
-0.620,0.283,-1.577,32.593,-77.454,223.145
-0.612,0.299,-1.560,25.940,-91.919,223.022
-0.611,0.309,-1.592,21.606,-101.929,224.670
-0.671,0.356,-1.615,21.606,-109.680,226.868
-0.749,0.465,-1.613,26.062,-115.662,226.624
-0.777,0.591,-1.590,31.494,-120.483,220.276
-0.772,0.642,-1.615,35.706,-124.512,207.520
-0.733,0.599,-1.705,37.598,-130.310,191.895
-0.725,0.576,-1.737,40.894,-139.832,180.420
-0.753,0.588,-1.686,46.936,-153.015,174.438
-0.772,0.645,-1.566,53.528,-165.283,170.898

0.380,0.351,-0.787,38.940,-8.667,30.151
0.391,0.298,-0.722,39.063,-10.925,25.146
0.464,0.277,-0.704,36.621,-13.428,26.917
0.465,0.230,-0.689,28.992,-11.963,32.715
0.443,0.208,-0.727,20.996,-8.911,39.124
0.465,0.224,-0.799,15.747,-7.446,44.189
0.475,0.252,-0.870,9.888,-9.644,47.974
0.474,0.276,-0.890,6.287,-14.404,51.025
0.499,0.303,-0.892,5.371,-19.104,52.673
0.536,0.272,-0.893,5.432,-23.315,53.040
0.633,0.215,-0.930,5.798,-27.466,54.504
0.730,0.238,-0.969,4.517,-33.142,60.303
0.793,0.341,-1.015,0.610,-41.077,68.726
0.809,0.436,-1.079,-8.179,-52.490,75.256
0.775,0.525,-1.174,-18.188,-70.190,78.186
0.784,0.632,-1.058,-29.480,-89.172,78.003
0.796,0.734,-1.054,-42.908,-105.835,73.608
0.755,0.755,-1.102,-65.247,-125.305,65.002
0.661,0.646,-1.149,-85.083,-144.470,56.824
0.752,0.898,-1.170,-92.102,-161.865,54.932
0.764,1.007,-1.152,-91.797,-175.293,51.086
0.622,1.004,-1.194,-84.961,-183.044,42.480
0.480,1.112,-1.114,-69.458,-185.974,35.706
0.382,1.276,-1.020,-49.377,-183.899,26.245
0.313,1.412,-0.995,-33.813,-178.101,10.010
0.245,1.462,-1.005,-22.705,-172.241,-9.644
0.184,1.482,-1.015,-14.038,-169.739,-30.273
0.123,1.485,-1.070,-10.864,-172.729,-51.147
0.100,1.406,-1.105,-12.878,-182.861,-72.388
0.081,1.290,-1.117,-14.771,-200.134,-91.858
0.024,1.212,-1.062,-15.442,-222.473,-107.422
-0.059,1.151,-0.950,-16.785,-246.277,-118.835
-0.153,1.078,-0.779,-20.508,-267.456,-128.906
-0.223,0.998,-0.608,-23.987,-282.166,-139.465
