aX,aY,aZ,gX,gY,gZ
0.016,0.636,-0.830,-4.028,-0.488,-38.086
0.030,0.634,-0.836,-5.127,-1.892,-38.391
0.045,0.620,-0.830,-5.554,-3.540,-39.001
0.055,0.600,-0.813,-4.456,-4.944,-39.490
0.067,0.584,-0.805,-3.662,-5.127,-39.673
0.074,0.568,-0.814,-4.211,-4.639,-39.368
0.085,0.560,-0.831,-5.066,-4.089,-38.452
0.097,0.563,-0.847,-5.432,-4.272,-37.170
0.105,0.559,-0.854,-5.127,-5.310,-36.072
0.103,0.554,-0.848,-4.333,-6.409,-34.851
0.104,0.554,-0.838,-3.174,-7.507,-33.630
0.108,0.552,-0.830,-2.502,-8.118,-32.471
0.109,0.548,-0.819,-1.526,-8.057,-31.311
0.108,0.552,-0.801,-0.366,-7.874,-29.968
0.108,0.561,-0.793,0.122,-7.568,-29.419
0.101,0.558,-0.791,-0.427,-7.141,-28.992
0.095,0.557,-0.793,-1.465,-7.019,-28.748
0.098,0.562,-0.803,-3.113,-6.958,-28.381
0.097,0.563,-0.822,-5.188,-7.446,-27.832
0.095,0.567,-0.841,-6.531,-8.545,-27.954
0.099,0.573,-0.849,-8.057,-10.559,-28.503
0.101,0.573,-0.841,-8.606,-13.184,-29.358
0.108,0.564,-0.830,-8.179,-15.503,-30.701
0.117,0.552,-0.820,-6.470,-16.663,-31.433
0.126,0.545,-0.818,-4.028,-16.052,-31.250
0.131,0.538,-0.807,-1.526,-14.221,-30.823
0.133,0.540,-0.791,0.732,-12.085,-30.457
0.144,0.553,-0.785,0.732,-9.766,-30.701
0.153,0.561,-0.800,-0.488,-7.935,-32.104
0.163,0.558,-0.811,-1.831,-7.874,-33.936
0.171,0.563,-0.807,-2.747,-9.155,-34.912
0.181,0.565,-0.801,-3.418,-10.986,-35.889
0.193,0.556,-0.798,-4.639,-13.184,-36.499

0.639,-0.826,-0.297,60.120,20.691,-3.296
0.689,-0.882,-0.180,53.406,25.818,13.367
0.671,-0.786,-0.173,59.998,38.452,20.325
0.578,-0.796,-0.194,55.786,51.208,20.081
0.588,-0.779,-0.258,46.082,57.556,17.944
0.592,-0.848,-0.305,33.752,54.993,12.695
0.610,-0.939,-0.267,17.029,45.959,6.470
0.632,-1.037,-0.234,-4.822,36.926,4.822
0.667,-1.155,-0.274,-30.579,31.555,9.094
0.693,-1.259,-0.320,-51.025,28.015,17.883
0.726,-1.298,-0.304,-59.082,26.245,28.931
0.750,-1.306,-0.230,-58.472,29.053,40.222
0.722,-1.302,-0.183,-53.711,37.537,51.147
0.678,-1.300,-0.151,-44.861,46.753,60.791
0.709,-1.270,-0.059,-34.668,54.626,70.679
0.584,-1.312,-0.171,-25.146,62.134,81.787
0.641,-1.305,-0.225,-23.621,60.669,96.741
0.696,-1.273,-0.258,-21.790,58.350,114.380
0.685,-1.270,-0.302,-27.954,55.176,133.057
0.646,-1.205,-0.301,-37.109,52.734,152.161
0.567,-1.068,-0.313,-42.725,52.734,167.297
0.470,-0.954,-0.391,-49.683,54.504,176.392
0.490,-0.937,-0.478,-57.617,55.969,179.260
0.544,-0.931,-0.556,-54.871,56.335,177.795
0.587,-0.914,-0.597,-43.884,56.030,176.025
0.573,-0.844,-0.600,-31.494,55.664,175.659
0.549,-0.765,-0.595,-23.926,56.458,175.842
0.528,-0.682,-0.584,-23.254,58.167,177.124
0.509,-0.596,-0.594,-26.123,60.791,178.772
0.491,-0.515,-0.619,-31.555,63.232,179.932
0.479,-0.435,-0.655,-38.513,64.453,180.115
0.473,-0.357,-0.708,-45.105,63.965,178.101
0.465,-0.275,-0.769,-49.744,61.462,174.622
0.471,-0.194,-0.812,-52.734,56.824,169.739
0.494,-0.146,-0.844,-58.105,49.927,163.757
0.505,-0.096,-0.843,-66.467,41.809,157.043
0.503,-0.053,-0.831,-77.515,33.020,149.658
0.503,-0.026,-0.825,-92.407,24.048,141.602
0.513,-0.005,-0.824,-108.032,14.771,133.179
0.532,-0.012,-0.855,-119.141,5.554,124.695
0.561,-0.027,-0.891,-121.704,-3.052,117.920
0.585,-0.031,-0.901,-117.249,-10.132,113.281
0.608,-0.031,-0.892,-108.765,-14.832,111.084
0.624,-0.013,-0.867,-99.731,-15.808,110.962
0.631,0.010,-0.841,-94.482,-12.451,112.671
0.623,0.038,-0.825,-94.910,-5.920,115.051
0.606,0.068,-0.821,-99.487,1.953,116.760
0.583,0.086,-0.832,-107.178,10.376,117.981
