aX,aY,aZ,gX,gY,gZ
0.858,-2.545,-1.006,-206.055,276.489,20.752
0.616,-2.420,-1.412,-203.003,296.570,59.875
0.687,-2.365,-1.528,-194.275,293.579,95.032
0.461,-2.249,-1.674,-205.505,276.428,151.978
0.288,-2.006,-1.740,-218.689,254.700,213.989
0.195,-1.859,-1.876,-221.985,236.328,256.897
0.097,-1.754,-2.029,-223.572,219.360,293.518
0.066,-1.718,-2.365,-227.722,199.341,332.092
-0.041,-1.676,-2.747,-225.098,167.786,378.296
-0.166,-1.606,-3.073,-200.073,123.718,436.218
-0.266,-1.476,-3.296,-161.499,63.904,500.427
-0.443,-1.348,-3.282,-108.215,-8.057,558.899
-0.663,-1.202,-3.030,-41.748,-80.017,603.455
-0.891,-1.084,-2.565,29.480,-138.977,632.019
-1.158,-0.854,-2.028,98.267,-173.645,646.057
-1.330,-0.462,-1.536,150.635,-182.983,643.127
-1.339,-0.082,-1.194,181.335,-171.448,614.075
-1.253,0.217,-1.024,194.214,-150.085,557.739
-1.102,0.470,-0.964,197.083,-129.578,481.934
-0.918,0.669,-0.911,202.942,-113.708,396.057
-0.752,0.829,-0.810,213.989,-102.417,307.434
-0.601,0.960,-0.663,229.980,-93.384,220.764
-0.453,1.034,-0.473,248.535,-82.153,136.414
-0.292,1.011,-0.274,262.939,-66.467,54.932
-0.154,0.901,-0.097,275.391,-44.434,-22.400
-0.026,0.756,0.022,280.823,-17.700,-93.323
0.086,0.574,0.076,279.236,11.230,-153.870
0.172,0.394,0.086,278.137,41.138,-203.613
0.230,0.248,0.069,280.823,70.679,-243.164
0.260,0.105,0.025,279.419,98.877,-275.940
0.287,-0.122,0.002,277.161,125.122,-304.443
0.350,-0.400,0.019,263.184,146.667,-327.820
0.498,-0.661,-0.000,229.004,160.645,-342.224

0.523,0.129,-1.145,-1.587,-24.841,51.636
0.533,0.124,-1.138,9.583,-36.255,64.392
0.502,0.296,-1.026,23.682,-51.392,79.102
0.415,0.370,-0.909,26.733,-58.838,86.487
0.331,0.444,-0.940,25.085,-58.960,87.952
0.248,0.569,-1.045,22.095,-61.951,85.266
0.168,0.739,-1.151,28.198,-70.496,77.087
0.105,0.878,-1.196,43.213,-81.909,60.120
0.073,0.935,-1.181,55.603,-95.703,35.706
0.237,0.970,-1.284,61.401,-111.328,10.376
-0.009,0.861,-0.937,71.899,-127.747,-10.498
-0.016,1.116,-0.776,72.327,-136.292,-22.827
0.019,1.205,-0.711,60.425,-136.047,-40.405
-0.020,1.072,-0.720,55.847,-128.235,-72.754
0.024,0.923,-0.719,63.416,-119.263,-104.858
0.083,0.842,-0.675,75.439,-110.718,-131.348
0.128,0.783,-0.584,88.379,-98.511,-153.076
0.109,0.755,-0.501,100.342,-81.604,-173.096
0.135,0.632,-0.458,106.445,-64.331,-194.336
0.147,0.539,-0.394,113.708,-44.922,-216.675
0.142,0.467,-0.263,121.338,-22.888,-239.624
0.120,0.416,-0.096,120.667,1.099,-264.343
0.101,0.368,0.068,113.281,31.189,-293.152
0.131,0.292,0.274,101.440,67.871,-324.219
0.144,0.149,0.471,81.909,110.474,-353.760
0.097,-0.030,0.585,57.434,158.630,-377.075
-0.003,-0.188,0.531,27.344,209.412,-390.259
-0.141,-0.354,0.340,-7.385,255.676,-391.541
-0.253,-0.508,0.135,-41.199,293.030,-382.141
-0.315,-0.703,-0.013,-72.327,317.749,-367.004
-0.330,-0.935,-0.139,-101.135,331.177,-350.647
-0.343,-1.154,-0.387,-122.131,336.182,-332.458
-0.128,-1.417,-0.617,-136.047,332.336,-314.636
0.291,-1.549,-0.816,-143.127,316.406,-300.964
0.530,-1.754,-0.929,-136.047,290.894,-283.997
0.723,-1.964,-1.031,-99.487,263.367,-244.934
0.748,-1.922,-1.072,-72.693,240.845,-168.762
0.705,-1.879,-1.147,-85.022,221.497,-90.149
0.738,-1.941,-1.174,-94.543,198.547,-34.912
0.742,-1.948,-1.019,-81.909,175.781,3.845
0.669,-1.884,-0.777,-67.688,164.490,43.579
0.495,-1.753,-0.667,-71.472,172.546,91.980
0.271,-1.604,-0.695,-92.834,192.017,139.526
0.095,-1.505,-0.905,-138.000,207.031,180.725
0.007,-1.517,-1.217,-197.998,209.412,217.407
-0.034,-1.554,-1.558,-238.464,200.012,253.906
-0.021,-1.633,-1.927,-256.470,181.152,293.274
-0.009,-1.687,-2.273,-258.850,152.161,337.463
0.013,-1.788,-2.628,-242.310,115.417,386.719
-0.060,-1.797,-2.949,-205.322,71.289,442.993
-0.203,-1.739,-3.099,-152.649,19.165,501.404
-0.419,-1.603,-3.060,-82.947,-33.813,555.420
-0.699,-1.389,-2.776,-1.160,-81.482,599.915
-0.966,-1.114,-2.281,82.031,-117.676,629.456
-1.179,-0.806,-1.765,154.236,-136.658,641.174
-1.277,-0.341,-1.361,206.482,-135.681,630.249
-1.329,0.245,-1.234,225.647,-119.202,588.074
-1.395,0.770,-1.303,210.449,-99.915,511.353
-1.387,1.153,-1.371,193.420,-90.881,405.762
-1.277,1.425,-1.304,196.655,-94.788,276.733
-1.108,1.498,-1.072,224.854,-105.042,138.794
-0.856,1.362,-0.747,262.451,-109.314,9.949
-0.602,1.153,-0.438,293.030,-97.534,-94.604
-0.384,0.923,-0.167,308.105,-66.528,-169.922
-0.206,0.685,-0.005,310.303,-22.583,-218.506
-0.075,0.483,0.021,307.617,23.193,-248.840
-0.000,0.286,-0.022,302.734,62.439,-271.790
0.005,0.170,0.008,301.331,91.858,-295.593
-0.059,0.031,0.290,298.279,116.089,-323.608
-0.129,-0.040,0.679,278.015,147.583,-356.506
-0.239,-0.182,0.917,221.497,196.838,-393.555
-0.451,-0.391,0.785,139.282,256.104,-427.856
-0.650,-0.644,0.398,47.302,309.692,-450.745
-0.703,-0.974,0.012,-38.147,339.172,-462.524
-0.486,-1.286,-0.446,-120.911,334.045,-466.858
-0.091,-1.658,-0.795,-185.730,294.800,-466.064
0.396,-1.997,-0.960,-206.055,232.422,-455.994
1.011,-2.432,-0.814,-191.101,168.823,-422.424
1.605,-2.799,-0.371,-169.678,140.991,-323.364
1.317,-2.604,-0.544,-163.818,179.443,-145.569
0.907,-2.228,-0.933,-153.564,228.699,-15.137
0.540,-1.917,-1.125,-134.338,247.498,40.161
0.273,-1.651,-1.129,-122.864,241.028,65.369
0.052,-1.479,-1.089,-133.850,223.572,91.736
-0.001,-1.400,-1.105,-161.682,204.468,123.047
0.048,-1.424,-1.217,-193.909,189.819,154.114
0.163,-1.490,-1.461,-231.445,179.382,183.960
0.224,-1.516,-1.737,-255.432,166.077,219.360
0.289,-1.551,-2.098,-268.005,145.691,263.367
0.312,-1.564,-2.446,-271.057,113.770,312.439
0.218,-1.525,-2.694,-255.371,68.481,362.915
0.073,-1.441,-2.856,-222.534,17.151,416.077
-0.089,-1.323,-2.943,-180.420,-36.255,468.811
-0.306,-1.163,-2.880,-132.324,-91.248,514.404
-0.527,-0.993,-2.767,-76.599,-138.977,549.133
-0.682,-0.784,-2.563,-11.475,-177.612,568.420
-0.817,-0.541,-2.217,65.063,-207.642,567.993
-0.956,-0.215,-1.784,146.240,-227.051,549.438
-1.036,0.172,-1.378,212.036,-233.948,514.038
-1.048,0.520,-1.064,250.549,-227.722,459.717
-0.994,0.800,-0.771,272.217,-211.670,383.850
-0.897,1.066,-0.450,292.419,-183.289,285.950
-0.801,1.178,-0.196,309.204,-141.052,169.495
-0.633,1.106,0.018,318.420,-87.280,45.227
-0.461,0.950,0.193,334.167,-22.583,-72.205
-0.293,0.697,0.251,344.849,47.180,-173.950
-0.185,0.403,0.185,354.065,115.784,-254.395
-0.143,0.097,0.061,360.046,174.561,-312.683
-0.140,-0.113,-0.040,361.694,218.079,-352.112
-0.157,-0.306,-0.004,360.352,244.751,-379.944
-0.205,-0.487,0.230,346.008,259.766,-401.917
-0.304,-0.604,0.407,309.692,276.611,-419.373
-0.357,-0.791,0.294,226.562,298.035,-431.763
-0.284,-1.056,0.124,100.098,314.270,-437.195
-0.054,-1.415,-0.130,-35.950,307.373,-442.810
0.211,-1.799,-0.359,-130.554,269.043,-445.190
0.497,-1.994,-0.448,-160.645,213.318,-427.307
0.866,-2.216,-0.183,-174.316,169.006,-375.610
1.131,-2.496,-0.053,-211.670,171.570,-270.996
0.998,-2.472,-0.275,-244.141,213.135,-133.667
0.687,-2.221,-0.605,-250.854,250.366,-31.006
0.324,-2.009,-0.911,-245.422,267.334,20.874
0.160,-1.834,-1.121,-238.770,264.282,47.119
0.073,-1.724,-1.281,-233.704,249.756,67.810
0.091,-1.711,-1.495,-237.610,231.079,88.501
0.167,-1.734,-1.674,-235.107,207.397,112.305
0.254,-1.773,-1.798,-225.159,180.298,140.259
0.343,-1.797,-1.885,-202.759,155.212,175.598
0.373,-1.756,-1.979,-176.697,135.010,215.637
0.375,-1.682,-2.100,-147.827,117.310,258.484
0.376,-1.668,-2.286,-128.967,94.116,303.284
0.315,-1.696,-2.493,-117.554,58.716,352.966
0.150,-1.610,-2.588,-86.365,12.024,413.696
-0.115,-1.357,-2.476,-43.884,-39.429,478.516
-0.399,-1.084,-2.292,-7.629,-88.562,534.485
-0.713,-0.815,-2.045,22.339,-125.732,572.083
-0.905,-0.456,-1.727,56.519,-151.794,584.351
-0.990,-0.128,-1.487,90.454,-166.016,569.153
-0.987,0.133,-1.361,111.755,-170.044,529.968
-0.946,0.378,-1.259,126.465,-170.837,472.961
-0.908,0.603,-1.134,150.024,-170.593,401.733
-0.835,0.819,-0.957,179.199,-168.091,321.533
-0.732,0.987,-0.744,207.275,-160.461,234.253
-0.629,1.067,-0.505,233.032,-143.921,142.151
-0.527,1.077,-0.257,259.521,-116.699,48.523
-0.403,0.975,-0.055,280.273,-79.102,-43.579
-0.270,0.747,0.055,291.687,-32.654,-129.517
-0.141,0.490,0.099,294.312,16.113,-202.148
-0.077,0.241,0.063,292.786,63.538,-258.545

0.240,-0.078,-0.878,210.388,97.290,244.202
0.131,-0.078,-0.909,203.796,99.854,247.986
0.055,0.121,-0.988,200.439,97.168,252.747
-0.006,0.343,-1.045,194.397,92.834,254.883
-0.105,0.513,-1.184,190.369,83.069,245.789
-0.141,0.598,-1.193,190.063,65.186,226.868
-0.175,0.713,-1.085,190.552,43.213,206.238
-0.200,0.844,-1.172,182.129,25.757,188.782
-0.254,0.972,-1.330,171.265,6.348,169.861
-0.318,1.097,-1.395,173.462,-18.494,147.583
-0.354,1.182,-1.368,183.105,-45.105,122.253
-0.382,1.290,-1.266,190.918,-69.519,96.985
-0.436,1.412,-1.146,192.993,-89.905,72.571
-0.491,1.509,-1.053,188.782,-107.178,47.546
-0.509,1.558,-0.993,180.664,-123.840,20.142
-0.610,1.391,-0.713,179.565,-139.038,-8.911
-0.703,1.484,-0.498,182.495,-148.437,-34.790
-0.599,1.491,-0.399,170.593,-145.874,-58.960
-0.533,1.359,-0.361,164.185,-134.277,-92.651
-0.492,1.195,-0.272,169.678,-117.798,-128.357
-0.377,1.109,-0.198,175.232,-98.206,-161.255
-0.302,1.025,-0.097,178.467,-73.975,-189.453
-0.266,0.976,0.038,181.091,-43.640,-214.172
-0.234,0.908,0.151,181.702,-7.996,-237.305
-0.199,0.765,0.204,181.519,33.386,-261.292
-0.214,0.624,0.318,180.603,79.712,-287.048
-0.124,0.649,0.610,179.199,131.470,-316.223
-0.187,0.565,0.884,158.142,194.702,-349.060
-0.265,0.335,0.930,105.957,266.541,-379.150
-0.343,0.073,0.688,41.077,335.266,-397.949
-0.457,-0.191,0.376,-16.052,386.047,-404.663
-0.547,-0.419,0.262,-61.768,410.583,-400.757
-0.712,-0.647,0.161,-103.394,427.429,-390.869
-0.846,-0.917,0.020,-145.142,440.308,-374.817
-0.790,-1.205,-0.221,-193.237,451.355,-353.943
-0.614,-1.430,-0.567,-255.920,454.285,-329.224
-0.131,-1.837,-0.928,-298.828,441.956,-312.866
0.365,-2.206,-1.477,-307.129,411.377,-299.316
0.731,-2.534,-1.674,-264.648,363.220,-254.517
1.025,-2.649,-1.845,-224.548,314.026,-155.151
1.159,-2.646,-2.039,-220.764,269.104,-39.673
1.250,-2.679,-2.279,-218.750,226.562,52.673
1.073,-2.648,-2.220,-172.729,190.857,127.319
0.674,-2.182,-1.957,-106.201,172.302,206.909
0.209,-1.601,-1.854,-80.872,168.823,284.790
-0.181,-1.255,-1.944,-107.910,160.278,345.276
-0.357,-1.022,-2.145,-143.860,136.108,390.991
-0.352,-0.816,-2.407,-170.166,94.849,430.115
-0.348,-0.839,-2.765,-191.772,40.466,461.304
-0.324,-0.926,-3.104,-196.594,-23.315,493.835
-0.430,-0.937,-3.232,-173.462,-92.651,534.607
-0.692,-0.859,-3.184,-126.709,-154.114,581.726
-1.049,-0.714,-2.989,-72.815,-201.843,627.808
-1.414,-0.451,-2.630,-9.094,-235.291,665.466
-1.700,-0.085,-2.217,53.955,-254.028,685.608
-1.915,0.467,-1.950,102.539,-260.132,680.481
-2.009,1.073,-1.826,127.319,-260.803,641.296
-2.044,1.550,-1.701,143.494,-263.428,560.303
-1.964,1.955,-1.453,165.894,-268.555,438.538
-1.796,2.013,-1.114,197.754,-268.372,284.485
-1.535,1.848,-0.657,240.173,-252.075,120.789
-1.226,1.655,-0.145,283.936,-207.153,-26.917
-1.009,1.367,0.149,312.927,-131.531,-145.325
-0.745,1.071,0.422,332.581,-47.668,-230.774
-0.592,0.817,0.519,352.783,42.053,-294.739
-0.465,0.519,0.525,374.573,122.742,-344.727
-0.351,0.250,0.658,394.531,188.599,-386.047
-0.209,-0.044,1.151,400.208,245.422,-420.776
-0.136,-0.226,1.581,364.868,308.838,-448.792
-0.274,-0.396,1.458,270.996,383.850,-463.196
-0.711,-0.683,0.978,155.273,451.782,-461.121
-0.845,-0.898,0.292,42.847,493.408,-450.317
-0.690,-1.274,-0.331,-76.599,490.967,-436.462
-0.371,-1.736,-0.726,-164.856,442.444,-442.139
0.065,-1.995,-0.914,-202.393,363.831,-444.153
0.555,-2.193,-0.898,-212.219,284.546,-421.814
0.802,-2.377,-0.843,-207.458,234.924,-372.375
0.895,-2.448,-0.712,-192.383,225.403,-289.124
0.812,-2.479,-0.955,-195.679,257.324,-167.603
0.505,-2.152,-1.516,-219.177,292.236,-39.551
0.276,-1.897,-1.840,-225.708,288.879,36.499
0.166,-1.765,-1.996,-218.872,257.263,69.824
0.067,-1.661,-1.886,-202.271,214.661,94.238
0.044,-1.540,-1.778,-194.885,182.434,131.226
-0.007,-1.467,-1.929,-208.923,169.250,173.035
0.000,-1.403,-2.144,-220.154,156.860,208.435
0.047,-1.341,-2.408,-225.647,134.888,242.249
0.114,-1.339,-2.720,-226.868,101.563,281.006
0.197,-1.367,-3.000,-215.820,56.763,326.050
0.243,-1.421,-3.174,-185.669,4.883,375.183
0.177,-1.441,-3.218,-139.343,-49.438,429.382
-0.047,-1.336,-3.073,-75.500,-100.525,488.220
-0.399,-1.144,-2.785,-9.033,-143.372,545.532
-0.788,-0.898,-2.403,44.861,-177.979,593.933
-1.088,-0.592,-1.984,89.722,-203.735,624.146
-1.294,-0.293,-1.624,127.136,-220.276,632.690
-1.416,0.074,-1.385,149.841,-229.675,617.798
-1.505,0.531,-1.250,155.945,-233.887,578.125
-1.507,0.974,-1.141,157.410,-235.474,512.756
-1.430,1.341,-1.062,158.020,-236.572,420.898
-1.346,1.562,-0.970,168.579,-236.938,307.068
-1.209,1.627,-0.754,200.562,-233.826,182.007
-1.022,1.533,-0.382,246.399,-218.994,55.420
-0.852,1.339,0.007,287.598,-181.396,-61.523
-0.671,1.054,0.275,311.890,-118.835,-162.231
-0.480,0.685,0.363,324.463,-40.955,-245.789
-0.327,0.318,0.359,334.839,37.292,-309.875
-0.240,0.073,0.351,352.356,106.934,-355.957
-0.206,-0.160,0.356,364.441,166.077,-387.756
-0.193,-0.410,0.562,367.859,216.614,-412.292
-0.215,-0.620,0.752,351.868,265.747,-433.960
-0.273,-0.945,0.510,278.015,316.223,-451.599
-0.129,-1.213,0.132,153.931,349.915,-461.914
0.135,-1.540,-0.087,38.696,349.487,-470.581
0.322,-1.813,-0.122,-35.706,314.392,-470.825
0.456,-1.970,-0.182,-79.895,261.597,-455.566
0.534,-2.011,-0.128,-100.220,214.294,-415.894
0.625,-2.193,-0.136,-129.333,194.885,-351.501
0.845,-2.415,-0.293,-158.813,207.886,-255.920
0.925,-2.367,-0.641,-180.359,237.000,-140.076
0.836,-2.248,-1.033,-197.083,256.287,-43.274
0.737,-2.155,-1.249,-206.482,255.005,17.822
0.643,-2.069,-1.285,-197.327,240.112,56.824
0.573,-1.976,-1.237,-180.664,227.539,89.966
0.508,-1.862,-1.289,-189.636,224.609,128.418
0.409,-1.836,-1.432,-217.163,223.145,169.312
0.353,-1.748,-1.653,-244.080,216.492,210.266
0.330,-1.634,-1.976,-270.081,202.820,249.146
0.188,-1.512,-2.333,-286.743,178.162,288.147
0.179,-1.417,-2.678,-284.058,139.099,331.543
0.119,-1.417,-2.995,-263.428,88.074,377.197
0.041,-1.351,-3.166,-221.130,27.039,427.612
-0.078,-1.179,-3.149,-165.222,-38.086,481.934
-0.265,-0.990,-2.954,-104.309,-99.792,528.809
-0.480,-0.779,-2.605,-33.203,-150.513,561.523
-0.641,-0.539,-2.188,39.063,-187.256,576.843
-0.735,-0.268,-1.772,99.609,-209.351,573.364
-0.806,-0.007,-1.418,144.714,-218.994,550.293
-0.843,0.255,-1.140,171.692,-219.482,509.949
-0.826,0.600,-0.925,182.739,-213.684,456.360
-0.737,0.711,-0.768,181.519,-202.759,393.982
-0.677,0.921,-0.683,181.458,-189.819,324.402
-0.608,0.958,-0.534,195.251,-174.744,241.577
-0.530,0.994,-0.333,222.046,-155.029,151.367
-0.437,0.953,-0.112,244.812,-128.235,56.396
-0.300,0.837,0.090,263.855,-92.102,-35.950
-0.177,0.679,0.222,272.461,-48.096,-119.751
-0.076,0.483,0.289,276.550,0.000,-188.599
0.026,0.308,0.312,271.790,47.607,-241.394

0.509,0.654,-0.510,-44.250,-119.141,179.565
0.520,0.625,-0.576,-61.035,-115.784,167.969
0.587,0.599,-0.671,-62.988,-117.065,155.945
0.620,0.612,-0.693,-45.044,-121.277,147.400
0.638,0.604,-0.629,-25.757,-120.422,139.160
0.656,0.605,-0.574,-6.287,-114.990,134.583
0.681,0.672,-0.560,5.981,-107.483,133.118
0.617,0.696,-0.565,18.860,-99.731,131.287
0.551,0.716,-0.671,26.489,-91.858,130.798
0.507,0.800,-0.812,35.278,-85.022,129.883
0.450,0.936,-0.914,49.133,-84.045,124.634
0.395,1.013,-1.015,64.026,-89.600,113.281
0.229,1.132,-1.096,72.998,-104.919,97.290
0.243,1.200,-1.171,84.778,-125.244,79.590
0.159,1.072,-1.147,101.929,-147.766,55.969
0.130,0.969,-0.995,126.587,-171.936,35.278
0.102,0.868,-0.803,148.193,-190.186,19.836
0.081,0.715,-0.670,162.170,-198.730,8.667
0.129,0.587,-0.535,168.579,-199.280,4.211
0.147,0.634,-0.428,175.049,-193.909,3.479
0.152,0.660,-0.273,180.786,-183.838,0.244
0.147,0.745,-0.078,198.608,-171.997,-6.348
0.130,0.780,0.099,215.027,-155.273,-17.029
0.115,0.781,0.237,223.206,-134.766,-30.090
0.086,0.780,0.354,223.938,-114.441,-44.250
0.034,0.796,0.494,225.952,-95.032,-59.387
-0.038,0.833,0.653,226.440,-77.942,-76.782
-0.114,0.856,0.802,222.839,-60.181,-99.792
-0.194,0.843,0.938,222.961,-38.513,-129.089
-0.261,0.824,1.094,219.666,-15.442,-165.344
-0.313,0.776,1.249,221.375,12.634,-208.496
-0.356,0.659,1.372,220.215,46.448,-254.761
-0.396,0.499,1.431,216.064,85.205,-301.636
-0.427,0.285,1.450,209.106,124.878,-344.421
-0.422,0.041,1.552,193.970,164.673,-379.333
-0.407,-0.223,1.639,173.889,207.336,-403.931
-0.364,-0.506,1.600,140.320,249.695,-417.175
-0.311,-0.719,1.431,101.624,289.856,-419.739
-0.203,-0.930,1.240,65.369,323.120,-413.574
-0.046,-1.123,1.112,36.621,346.985,-399.963
0.128,-1.298,1.016,8.911,364.380,-379.028
0.311,-1.452,0.845,-25.391,374.695,-351.624
0.539,-1.598,0.618,-65.308,374.634,-318.604
0.845,-1.748,0.485,-93.018,361.938,-279.358
1.044,-1.913,0.459,-107.544,340.088,-233.337
1.145,-2.043,0.369,-132.812,321.899,-174.438
1.156,-2.137,0.228,-160.645,312.317,-103.516
1.114,-2.173,0.059,-185.913,307.434,-31.128
0.945,-2.118,-0.274,-205.261,306.030,30.640
0.909,-2.124,-0.509,-213.196,302.429,78.979
0.960,-2.237,-0.583,-207.397,295.654,113.220
0.935,-2.263,-0.764,-188.171,294.556,141.724
0.844,-2.153,-1.025,-162.903,296.814,173.523
0.765,-1.913,-1.347,-144.897,292.725,208.618
0.718,-1.688,-1.658,-139.526,270.935,239.380
0.717,-1.580,-1.884,-131.104,225.830,262.085
0.730,-1.440,-2.019,-127.075,159.241,281.250
0.690,-1.296,-2.108,-126.526,84.778,298.096
0.642,-1.141,-2.114,-118.530,14.465,314.819
0.543,-0.927,-2.034,-99.121,-41.931,330.994
0.437,-0.726,-1.991,-78.430,-82.458,345.825
0.383,-0.563,-1.991,-62.927,-109.619,357.056
0.339,-0.395,-1.967,-43.396,-130.066,363.098
0.254,-0.155,-1.884,-15.442,-149.292,363.892
0.151,0.090,-1.741,12.329,-168.152,358.521
