aX,aY,aZ,gX,gY,gZ
0.137,-0.089,-1.007,3.235,-1.892,16.113
0.130,-0.085,-1.006,0.610,-3.906,15.503
0.126,-0.080,-1.011,-0.854,-5.249,13.733
0.131,-0.083,-1.006,-0.977,-5.798,11.353
0.136,-0.088,-0.997,0.488,-5.798,8.545
0.141,-0.104,-0.997,2.380,-4.944,5.981
0.155,-0.130,-0.992,4.395,-4.028,4.456
0.161,-0.142,-0.981,6.592,-3.174,4.517
0.159,-0.148,-0.960,7.629,-2.197,5.432
0.161,-0.141,-0.952,6.531,-1.465,6.653
0.161,-0.132,-0.965,3.723,-1.038,8.057
0.157,-0.128,-0.983,0.610,-1.282,9.094
0.151,-0.124,-0.990,-0.916,-2.441,9.216
0.150,-0.120,-0.984,-0.610,-3.357,8.667
0.149,-0.119,-0.972,0.854,-3.479,7.385
0.144,-0.129,-0.968,2.258,-2.747,6.348
0.144,-0.128,-0.977,3.235,-1.099,5.981
0.152,-0.121,-0.989,4.761,0.183,5.981
0.161,-0.126,-0.988,6.226,0.916,5.737
0.167,-0.130,-0.978,7.324,0.977,5.920
0.167,-0.131,-0.967,7.446,1.160,6.897
0.164,-0.122,-0.957,6.226,1.404,8.240
0.159,-0.103,-0.966,4.028,1.526,9.399
0.154,-0.096,-0.981,1.587,1.404,10.010
0.153,-0.095,-0.986,-0.610,0.793,9.460
0.156,-0.093,-0.980,-1.526,0.000,8.362
0.159,-0.095,-0.980,-1.892,-0.183,6.775
0.162,-0.101,-0.986,-1.892,0.183,5.432
0.161,-0.110,-0.992,-0.916,0.488,4.639
0.161,-0.126,-0.992,0.244,0.366,4.089
0.159,-0.133,-0.990,0.671,0.793,4.700
0.158,-0.129,-0.998,0.916,1.343,6.226
0.155,-0.123,-1.012,1.038,1.648,7.385

-0.152,1.030,-0.417,-6.775,-26.978,30.334
-0.076,1.022,-0.359,-13.062,-31.616,36.560
-0.109,1.183,-0.342,-12.146,-33.752,42.908
-0.202,1.274,-0.296,-15.625,-30.640,41.931
-0.243,1.337,-0.272,-15.381,-23.621,30.579
-0.235,1.286,-0.299,-14.709,-14.832,12.878
-0.213,1.191,-0.337,-14.771,-7.996,-0.671
-0.211,1.155,-0.349,-13.977,-3.174,-5.127
-0.241,1.188,-0.317,-11.963,2.197,-4.028
-0.318,1.337,-0.237,-7.629,9.827,-2.808
-0.412,1.509,-0.166,-5.066,20.325,-6.714
-0.470,1.584,-0.131,-6.714,32.288,-20.447
-0.494,1.560,-0.139,-10.376,43.823,-40.894
-0.510,1.481,-0.169,-13.367,53.955,-60.608
-0.507,1.398,-0.198,-15.564,62.561,-75.439
-0.495,1.329,-0.224,-17.700,69.458,-85.144
-0.506,1.324,-0.263,-20.569,75.073,-92.529
-0.455,1.310,-0.310,-26.001,79.529,-101.379
-0.433,1.306,-0.349,-25.146,80.811,-113.831
-0.456,1.260,-0.370,-23.865,81.726,-128.967
-0.404,1.256,-0.369,-23.926,83.313,-145.386
-0.403,1.169,-0.379,-28.381,87.036,-162.903
-0.402,1.079,-0.389,-35.034,91.675,-179.077
-0.385,1.004,-0.409,-40.344,96.313,-193.848
-0.345,0.887,-0.423,-45.593,100.342,-207.947
-0.282,0.723,-0.460,-49.622,103.271,-219.849
-0.196,0.526,-0.529,-51.697,104.431,-225.769
-0.104,0.364,-0.601,-48.767,103.027,-221.069
-0.077,0.343,-0.626,-41.016,101.196,-203.979
-0.137,0.397,-0.629,-35.583,100.647,-181.030
-0.217,0.455,-0.658,-38.574,102.173,-161.621
-0.257,0.493,-0.741,-48.645,102.783,-150.940
-0.242,0.465,-0.850,-59.021,100.342,-150.330
-0.186,0.387,-0.915,-63.599,94.727,-155.823
-0.127,0.347,-0.895,-60.242,87.708,-163.696
-0.086,0.333,-0.838,-53.833,82.886,-174.316
-0.041,0.315,-0.763,-50.354,81.299,-187.256
-0.005,0.221,-0.716,-51.697,81.238,-200.256
0.005,0.056,-0.736,-56.763,81.665,-208.923
0.034,-0.131,-0.834,-63.110,81.116,-207.092
0.066,-0.272,-0.933,-66.284,79.773,-190.491
0.101,-0.203,-0.964,-60.059,78.796,-163.147
0.072,-0.055,-0.959,-52.429,79.468,-134.338
-0.002,0.076,-0.949,-49.133,80.139,-112.671
-0.057,0.204,-0.950,-50.659,78.430,-101.990
-0.077,0.292,-0.963,-54.993,74.341,-102.417
-0.060,0.316,-0.961,-59.570,68.481,-111.633
-0.028,0.286,-0.921,-61.035,62.927,-125.122
-0.010,0.178,-0.874,-58.716,59.143,-137.878
-0.008,0.028,-0.843,-55.359,58.777,-145.325
0.007,-0.059,-0.846,-51.758,62.988,-143.005
0.032,-0.088,-0.881,-48.096,70.862,-132.874
0.020,-0.090,-0.956,-44.739,78.918,-120.117
-0.006,-0.065,-1.039,-41.748,83.801,-107.300
-0.037,-0.018,-1.101,-38.940,84.351,-95.642
-0.054,0.042,-1.121,-35.583,80.627,-88.745
-0.055,0.071,-1.094,-33.264,74.097,-88.867
-0.045,0.042,-1.066,-33.508,67.078,-94.727
-0.007,-0.047,-1.067,-35.828,60.364,-101.929
0.050,-0.180,-1.095,-37.354,55.054,-106.018
0.101,-0.288,-1.116,-35.461,51.697,-103.821
0.149,-0.345,-1.151,-32.410,50.659,-96.252
0.188,-0.377,-1.199,-29.541,51.453,-84.717
0.214,-0.379,-1.253,-25.879,51.941,-72.083
0.228,-0.353,-1.291,-20.020,50.354,-60.547
0.233,-0.317,-1.301,-13.550,46.509,-51.025
0.237,-0.276,-1.287,-8.057,41.565,-43.823
0.241,-0.241,-1.263,-5.493,35.950,-39.490
0.246,-0.217,-1.239,-5.005,30.762,-36.926
0.253,-0.198,-1.229,-5.188,25.940,-35.034
0.261,-0.193,-1.227,-5.005,22.400,-32.715
0.268,-0.200,-1.225,-3.174,19.958,-28.809
0.277,-0.180,-1.202,0.305,18.066,-23.743
0.265,-0.155,-1.174,3.357,16.418,-18.372
0.254,-0.108,-1.152,3.662,15.259,-12.695
0.244,-0.065,-1.163,1.892,13.855,-8.118
0.234,-0.042,-1.162,-0.244,10.986,-5.493
0.226,-0.023,-1.145,-1.587,6.897,-4.211
0.223,-0.009,-1.134,-3.418,3.113,-3.662
0.219,-0.004,-1.130,-5.188,0.305,-3.052
0.214,0.001,-1.124,-5.554,-1.770,-2.136
0.204,0.017,-1.114,-4.272,-2.930,-1.099
0.199,0.025,-1.106,-2.747,-3.296,0.244
0.199,0.022,-1.101,-1.831,-2.991,2.808
0.194,0.046,-1.089,-0.427,-2.747,6.287
0.173,0.077,-1.064,0.488,-2.930,9.766
0.158,0.112,-1.061,-0.916,-3.235,11.414
0.159,0.134,-1.069,-2.930,-4.028,10.864
