aX,aY,aZ,gX,gY,gZ
0.494,0.652,-0.522,-14.526,16.724,-30.945
0.503,0.653,-0.523,-9.399,15.320,-27.893
0.512,0.670,-0.523,-6.348,14.221,-25.146
0.521,0.685,-0.546,-5.493,14.221,-23.560
0.530,0.681,-0.574,-5.005,14.893,-24.109
0.544,0.666,-0.578,-3.113,15.320,-25.818
0.559,0.661,-0.573,-0.488,15.869,-27.405
0.570,0.641,-0.583,0.671,16.541,-28.259
0.590,0.615,-0.609,-0.061,17.029,-27.954
0.611,0.606,-0.627,-0.427,16.846,-26.733
0.620,0.594,-0.634,0.732,15.564,-25.269
0.618,0.570,-0.641,1.526,14.160,-23.132
0.613,0.559,-0.638,2.747,13.428,-20.508
0.607,0.566,-0.634,4.944,13.428,-17.395
0.600,0.580,-0.641,6.165,13.367,-14.954
0.591,0.590,-0.642,6.104,12.634,-13.428
0.575,0.596,-0.631,5.310,11.230,-12.512
0.564,0.606,-0.624,4.395,9.399,-12.024
0.559,0.616,-0.621,2.869,7.874,-12.207
0.550,0.618,-0.618,1.770,6.958,-13.123
0.543,0.609,-0.616,1.526,6.836,-14.465
0.546,0.583,-0.623,1.343,7.080,-15.747
0.562,0.551,-0.636,1.221,7.690,-15.686
0.576,0.546,-0.646,1.770,7.690,-13.306
0.571,0.552,-0.637,2.014,7.019,-10.254
0.554,0.565,-0.633,0.549,6.165,-7.996
0.543,0.579,-0.643,-1.770,5.371,-6.653
0.535,0.585,-0.645,-3.052,4.517,-6.836
0.528,0.584,-0.635,-2.869,4.028,-7.812
0.527,0.579,-0.632,-3.113,4.028,-9.155

-0.091,0.872,-0.540,-5.981,-3.662,3.052
-0.065,0.838,-0.518,-10.132,-6.470,1.282
-0.065,0.876,-0.528,-8.728,-9.644,-1.038
-0.090,0.850,-0.523,-10.864,-9.583,-2.014
-0.085,0.847,-0.524,-9.888,-9.277,-2.686
-0.074,0.840,-0.507,-5.432,-8.362,-4.333
-0.062,0.845,-0.491,-1.831,-7.263,-5.493
-0.050,0.804,-0.515,-1.648,-6.653,-6.531
-0.008,0.724,-0.539,-1.831,-8.362,-6.958
0.001,0.670,-0.536,-1.343,-13.000,-4.395
-0.010,0.690,-0.527,-3.662,-19.775,2.380
-0.023,0.771,-0.480,-6.714,-25.818,8.972
-0.042,0.793,-0.436,-10.925,-28.259,9.644
-0.030,0.741,-0.408,-14.832,-27.039,5.676
0.003,0.667,-0.401,-15.747,-22.827,2.380
0.025,0.596,-0.383,-14.038,-16.663,1.770
0.028,0.572,-0.351,-12.268,-9.399,4.517
0.018,0.577,-0.360,-14.465,-2.380,8.484
0.004,0.578,-0.383,-18.127,3.479,11.108
-0.008,0.542,-0.419,-20.935,7.874,11.963
-0.013,0.490,-0.457,-22.339,10.742,13.000
-0.015,0.463,-0.531,-23.193,12.634,16.174
0.006,0.418,-0.514,-23.254,13.916,22.095
-0.002,0.428,-0.491,-13.977,11.902,29.602
-0.038,0.469,-0.443,-5.737,10.925,37.781
-0.083,0.491,-0.406,-4.089,12.390,44.617
-0.115,0.507,-0.397,-7.263,13.916,49.255
-0.133,0.524,-0.404,-12.268,14.404,51.392
-0.140,0.541,-0.399,-17.273,14.282,52.063
-0.145,0.539,-0.393,-21.912,14.832,52.246
-0.152,0.526,-0.418,-26.672,17.395,52.551
-0.162,0.494,-0.493,-28.076,22.034,55.664
-0.174,0.450,-0.586,-23.560,26.184,62.378
-0.198,0.489,-0.596,-13.123,27.344,72.937
-0.253,0.533,-0.585,-5.737,26.978,83.557
-0.305,0.597,-0.595,-2.625,24.841,92.163
-0.366,0.665,-0.585,-3.540,20.081,98.083
-0.433,0.742,-0.561,-6.226,14.404,100.159
-0.481,0.831,-0.552,-11.292,10.132,99.060
-0.512,0.889,-0.581,-18.250,8.240,95.520
-0.529,0.914,-0.605,-22.705,8.118,89.905
-0.541,0.918,-0.621,-21.729,9.216,83.313
-0.540,0.922,-0.638,-18.005,11.353,77.454
-0.541,0.947,-0.648,-13.916,13.855,73.730
-0.547,0.979,-0.655,-10.254,15.747,71.106
-0.554,1.004,-0.662,-7.751,16.418,68.359
-0.567,1.012,-0.690,-6.958,15.442,64.819
-0.566,1.035,-0.718,-8.240,12.573,60.364
-0.559,1.070,-0.734,-10.742,7.568,56.030
-0.554,1.102,-0.752,-13.855,1.343,51.147
-0.546,1.122,-0.764,-16.479,-4.761,46.326
-0.530,1.125,-0.766,-17.395,-10.071,40.222
-0.517,1.118,-0.756,-15.625,-13.428,33.630
-0.495,1.120,-0.750,-12.512,-14.038,27.954
-0.464,1.131,-0.754,-9.094,-12.085,23.254
-0.434,1.125,-0.781,-4.761,-8.850,18.066
-0.402,1.107,-0.817,0.244,-4.883,13.062
-0.377,1.083,-0.859,4.944,-1.038,8.667
-0.370,1.063,-0.925,8.728,1.648,5.798
-0.362,1.043,-1.016,11.780,2.136,4.822
-0.345,1.045,-1.101,15.381,-0.305,5.615
-0.339,1.070,-1.163,19.775,-6.165,5.981
-0.338,1.083,-1.203,23.315,-14.709,4.578
-0.327,1.083,-1.223,25.085,-25.330,1.221
-0.317,1.064,-1.254,26.123,-35.095,-3.479
-0.310,1.033,-1.285,28.259,-43.152,-7.935
-0.303,1.000,-1.293,33.142,-49.927,-12.329
-0.306,0.964,-1.283,40.222,-55.481,-16.541
-0.323,0.924,-1.251,47.607,-60.791,-19.592
-0.347,0.878,-1.232,52.856,-65.796,-21.484
-0.359,0.846,-1.226,54.932,-71.350,-21.606
-0.381,0.845,-1.208,57.312,-78.552,-20.020
-0.420,0.849,-1.172,59.998,-87.036,-18.494
