aX,aY,aZ,gX,gY,gZ
-0.451,-0.501,-1.019,46.265,-138.367,4.578
-0.428,-0.431,-1.033,48.767,-135.010,14.893
-0.413,-0.395,-1.026,50.049,-134.644,21.973
-0.404,-0.356,-0.998,49.988,-136.963,26.733
-0.397,-0.272,-0.959,47.363,-140.076,31.128
-0.389,-0.196,-0.911,42.725,-142.517,33.630
-0.366,-0.174,-0.887,37.720,-143.494,33.081
-0.324,-0.191,-0.890,34.363,-141.968,33.386
-0.277,-0.203,-0.894,36.560,-137.085,36.865
-0.257,-0.171,-0.911,44.739,-129.944,42.297
-0.252,-0.120,-0.932,53.101,-122.742,48.523
-0.253,-0.047,-0.893,61.523,-116.638,53.711
-0.249,0.035,-0.835,68.237,-111.023,55.359
-0.238,0.105,-0.786,68.359,-106.384,53.040
-0.206,0.157,-0.760,62.256,-103.638,48.401
-0.157,0.147,-0.719,54.199,-102.478,43.030
-0.119,0.139,-0.694,47.424,-101.196,39.856
-0.097,0.145,-0.686,40.833,-99.976,39.551
-0.085,0.160,-0.661,34.668,-99.548,40.710
-0.083,0.187,-0.622,30.151,-98.999,42.236
-0.078,0.209,-0.595,25.696,-98.083,42.603
-0.072,0.204,-0.549,21.301,-96.985,41.992
-0.072,0.230,-0.509,18.433,-95.154,41.687
-0.065,0.259,-0.459,15.015,-92.773,40.771
-0.050,0.267,-0.408,9.766,-90.759,38.513
-0.024,0.272,-0.373,3.113,-89.294,36.682
0.001,0.264,-0.330,-3.601,-87.769,35.950
0.028,0.271,-0.305,-8.850,-84.412,37.109
0.053,0.281,-0.267,-9.216,-79.102,39.673
0.069,0.316,-0.245,-6.531,-71.960,42.419
0.079,0.345,-0.249,-4.700,-63.538,44.373
0.089,0.354,-0.231,-3.235,-56.152,45.166
0.108,0.387,-0.224,-2.197,-48.706,45.166
0.120,0.438,-0.248,-4.333,-41.809,45.837
0.133,0.478,-0.286,-8.484,-36.194,45.227

0.500,0.208,-0.995,-26.672,-11.597,35.583
0.448,0.239,-0.969,-32.288,-7.874,40.527
0.444,0.303,-1.013,-37.109,-13.184,39.368
0.354,0.246,-1.074,-40.710,-22.339,30.029
0.379,0.173,-1.088,-47.241,-37.170,17.456
0.408,0.015,-1.091,-55.603,-50.598,10.986
0.432,-0.085,-1.142,-58.655,-57.373,14.221
0.382,-0.046,-1.110,-51.331,-60.059,23.865
0.316,0.048,-0.972,-38.818,-58.838,31.189
0.276,0.089,-0.858,-29.724,-52.246,31.250
0.273,0.105,-0.800,-24.902,-41.443,27.344
0.275,0.097,-0.735,-19.714,-29.480,21.851
0.271,0.086,-0.695,-14.587,-17.090,16.602
0.279,0.071,-0.655,-8.118,-7.019,10.803
0.278,0.006,-0.572,-1.587,0.000,4.639
0.268,-0.062,-0.477,5.981,6.592,1.038
0.244,-0.102,-0.432,12.329,14.160,0.488
0.251,-0.076,-0.421,16.418,20.813,1.404
0.153,-0.071,-0.385,13.916,27.344,2.258
0.138,-0.010,-0.336,2.502,34.546,5.066
0.078,0.061,-0.301,-19.958,42.175,6.348
0.037,0.171,-0.320,-48.645,51.270,4.150
0.003,0.236,-0.328,-80.322,58.655,-3.662
-0.028,0.215,-0.326,-109.924,64.331,-15.686
-0.031,0.182,-0.359,-129.089,70.251,-27.283
-0.006,0.152,-0.422,-137.756,77.515,-34.424
0.008,0.139,-0.477,-134.827,85.022,-35.583
0.018,0.141,-0.479,-120.239,92.041,-32.410
0.005,0.183,-0.446,-101.929,99.548,-27.161
-0.022,0.233,-0.410,-85.510,108.032,-22.766
-0.043,0.293,-0.422,-75.684,115.540,-20.325
-0.044,0.295,-0.438,-73.181,119.080,-19.958
-0.028,0.268,-0.450,-72.510,119.385,-19.653
-0.011,0.223,-0.455,-70.923,118.774,-17.395
0.009,0.176,-0.430,-67.993,119.934,-12.634
0.002,0.196,-0.442,-63.782,123.779,-5.188
-0.046,0.262,-0.489,-60.791,128.418,3.052
-0.115,0.321,-0.497,-57.861,130.920,8.484
-0.198,0.403,-0.497,-52.185,133.667,8.850
-0.280,0.490,-0.499,-46.875,138.367,4.578
-0.359,0.543,-0.499,-45.349,144.104,-3.174
-0.420,0.577,-0.571,-50.232,149.658,-12.817
-0.443,0.545,-0.722,-60.608,154.297,-24.963
-0.422,0.457,-0.884,-68.604,156.067,-38.086
-0.391,0.360,-0.993,-67.505,155.640,-48.279
-0.370,0.279,-1.051,-57.861,154.907,-53.345
-0.357,0.234,-1.087,-43.762,156.189,-52.368
-0.359,0.267,-1.096,-28.320,159.607,-47.424
-0.418,0.289,-1.102,-17.151,163.940,-41.809
-0.444,0.397,-1.118,-1.892,166.016,-38.635
-0.513,0.475,-1.087,9.338,161.865,-40.222
-0.577,0.483,-1.087,1.953,157.227,-48.767
-0.590,0.431,-1.190,-16.113,155.090,-62.439
-0.557,0.354,-1.363,-29.663,152.283,-75.684
-0.516,0.240,-1.550,-36.743,146.362,-84.595
-0.480,0.146,-1.680,-32.471,138.611,-87.036
-0.455,0.074,-1.691,-16.296,131.836,-84.595
-0.429,0.030,-1.777,1.953,129.822,-80.566
-0.414,0.052,-1.838,23.987,126.953,-77.026
-0.423,0.044,-1.813,42.053,120.056,-75.134
-0.416,0.039,-1.771,53.223,112.061,-73.364
-0.411,0.069,-1.731,61.340,102.966,-69.092
-0.428,0.065,-1.621,66.528,93.201,-63.721
-0.457,0.083,-1.556,68.909,85.327,-58.228
-0.487,0.138,-1.585,62.561,78.979,-51.758
-0.543,0.176,-1.645,52.551,70.190,-46.448
-0.599,0.201,-1.689,42.175,56.519,-44.006
-0.641,0.219,-1.681,33.386,39.734,-44.067
-0.679,0.209,-1.609,27.283,23.682,-47.119
-0.698,0.187,-1.552,20.508,11.353,-51.758
-0.684,0.148,-1.528,12.634,3.479,-55.847
-0.659,0.075,-1.549,7.568,-0.793,-59.143
-0.622,-0.019,-1.551,6.531,-3.601,-60.364
-0.606,-0.096,-1.546,8.545,-6.531,-58.289
-0.595,-0.122,-1.611,7.141,-9.827,-51.514
-0.612,-0.126,-1.707,3.479,-14.648,-41.565
-0.658,-0.097,-1.769,4.272,-22.217,-31.677
-0.705,-0.041,-1.811,8.789,-31.860,-25.269
-0.726,0.006,-1.821,11.719,-44.006,-23.437
-0.741,0.028,-1.782,13.184,-57.861,-25.330
-0.767,0.028,-1.706,14.771,-70.923,-30.151
-0.773,0.015,-1.645,13.794,-80.872,-36.499
-0.755,-0.036,-1.606,9.277,-88.135,-43.762
-0.722,-0.104,-1.600,5.493,-93.262,-50.110
-0.681,-0.170,-1.607,5.615,-96.741,-52.979
-0.644,-0.223,-1.592,11.353,-99.182,-52.185
-0.613,-0.234,-1.542,21.667,-100.464,-48.462
-0.585,-0.235,-1.459,32.410,-100.464,-43.335
-0.567,-0.221,-1.395,39.795,-99.548,-38.635
-0.554,-0.206,-1.351,43.213,-98.145,-35.156
-0.541,-0.184,-1.326,43.884,-97.900,-32.715
-0.535,-0.176,-1.293,44.373,-98.938,-30.823
-0.515,-0.167,-1.258,45.410,-100.281,-29.541
-0.492,-0.159,-1.233,45.044,-101.379,-28.748
-0.474,-0.179,-1.193,43.945,-103.210,-28.442
-0.440,-0.199,-1.156,42.542,-105.408,-27.222
-0.402,-0.225,-1.092,40.771,-107.544,-24.658
-0.361,-0.245,-1.068,38.452,-108.459,-20.630
-0.323,-0.230,-1.058,34.607,-108.398,-14.893
-0.317,-0.217,-1.005,34.302,-109.253,-8.911
-0.318,-0.180,-0.972,33.447,-109.741,-4.883
-0.320,-0.156,-0.974,31.311,-108.826,-2.075
-0.302,-0.172,-1.000,29.053,-107.361,-0.244
-0.280,-0.194,-1.018,29.602,-106.445,2.075
-0.257,-0.227,-1.032,34.180,-105.713,6.348
-0.244,-0.241,-1.018,41.443,-104.492,13.672
-0.238,-0.193,-1.008,48.767,-102.295,23.437
-0.243,-0.113,-0.972,55.908,-99.365,32.654
-0.244,-0.040,-0.930,61.890,-96.375,37.537
-0.219,0.005,-0.884,65.125,-93.628,38.208
-0.188,0.044,-0.822,67.017,-91.187,37.964
-0.158,0.076,-0.816,66.040,-88.562,38.025
-0.126,0.066,-0.828,60.608,-87.280,38.696
-0.117,0.083,-0.840,55.481,-87.952,40.405
-0.120,0.112,-0.857,51.453,-89.661,42.542
-0.123,0.142,-0.864,46.326,-92.651,43.884
-0.120,0.172,-0.853,41.870,-95.886,44.495
