aX,aY,aZ,gX,gY,gZ
-0.881,0.286,-0.441,-217.957,300.110,-194.885
-0.923,0.206,-0.569,-223.999,296.753,-206.177
-0.946,0.126,-0.719,-228.455,291.077,-217.163
-0.950,0.002,-0.878,-233.032,283.447,-228.149
-0.937,-0.146,-1.040,-235.229,273.315,-239.746
-0.875,-0.389,-1.219,-237.061,261.047,-251.953
-0.736,-0.674,-1.466,-241.638,246.033,-262.329
-0.556,-0.929,-1.702,-238.892,225.769,-270.935
-0.375,-1.180,-1.886,-229.065,199.463,-277.649
-0.131,-1.315,-1.944,-208.984,169.067,-280.090
0.039,-1.410,-1.853,-187.195,141.235,-275.513
0.148,-1.484,-1.952,-166.138,127.136,-260.742
0.215,-1.458,-1.824,-145.142,117.126,-234.070
0.252,-1.409,-1.818,-128.906,117.615,-196.533
0.182,-1.311,-1.889,-113.525,130.859,-152.771
0.137,-1.153,-2.005,-94.849,140.320,-110.352
0.088,-0.968,-2.145,-74.158,143.127,-74.646
0.007,-0.799,-2.266,-52.368,135.803,-52.307
-0.062,-0.659,-2.311,-30.640,119.324,-42.908
-0.092,-0.578,-2.271,-12.207,97.839,-43.152
-0.090,-0.554,-2.170,0.366,75.562,-48.584
-0.081,-0.546,-2.044,5.981,56.519,-53.772
-0.063,-0.541,-1.963,5.676,41.443,-54.138
-0.039,-0.542,-1.909,0.732,28.748,-49.805
-0.016,-0.544,-1.859,-3.723,15.869,-42.419
0.008,-0.540,-1.789,-4.822,2.136,-33.508
0.032,-0.526,-1.682,-2.991,-10.254,-23.743
0.044,-0.500,-1.550,0.916,-20.264,-13.794
0.051,-0.457,-1.420,6.592,-26.672,-4.272
0.059,-0.409,-1.310,11.414,-29.602,4.150
0.065,-0.364,-1.224,14.343,-31.006,12.146
0.069,-0.319,-1.144,16.663,-31.921,19.470

0.306,-0.323,-0.181,-39.795,-16.541,30.457
0.249,-0.248,-0.004,-54.626,-3.052,45.227
0.164,-0.131,-0.043,-67.017,10.864,51.025
0.056,-0.138,-0.093,-72.266,24.963,43.335
0.039,-0.179,-0.150,-63.721,36.499,27.710
0.060,-0.249,-0.152,-49.438,42.358,13.550
0.068,-0.277,-0.038,-34.119,46.326,4.395
0.058,-0.277,0.070,-22.827,54.016,-2.136
0.065,-0.370,0.077,-21.667,65.918,-5.676
0.084,-0.473,0.091,-26.672,76.416,-5.371
0.077,-0.495,0.137,-34.302,84.595,0.000
0.032,-0.457,0.195,-46.631,92.712,8.606
-0.023,-0.396,0.241,-60.852,102.234,12.939
-0.081,-0.381,0.270,-71.899,113.220,9.827
-0.116,-0.414,0.280,-77.576,125.793,2.441
-0.119,-0.454,0.266,-75.562,140.076,-5.188
